Company_ID,Ticker,Company_Name,Sector,Fiscal_Year,Reporting_Date,Currency,Revenue,Operating_Profit,Net_Income,EPS,Operating_Margin,Operating_Margin_Pct,Net_Profit_Margin,Net_Profit_Margin_Pct,Operating_Loss_Flag,Net_Loss_Flag,EPS_Outlier_Flag,Anomaly_Net_Income_Exceeds_Revenue,Missing_Data_Flag
CMP-1868,ALG,Aura Lifestyle Goods,Consumer Cyclical,2021,2021-06-30,USD,15560720711.6,2170339604.91,17894828818.34,68.49,0.1395,13.95,1.15,115.0,False,False,False,True,False
CMP-1786,ALG,Aura Lifestyle Goods,Consumer Cyclical,2021,2021-06-30,USD,12107487153.59,-139911495.75,-782800000.0,-3.34,-0.0116,-1.16,-0.0647,-6.47,True,True,False,False,False
CMP-1823,ALG,Aura Lifestyle Goods,Consumer Cyclical,2021,2021-06-30,EUR,8185428439.01,541430000.0,-20530000.0,-0.12,0.0661,6.61,-0.0025,-0.25,False,True,False,False,False
CMP-1793,ALG,Aura Lifestyle Goods,Consumer Cyclical,2022,2022-09-30,USD,5310000000.0,631890000.0,258821047.1,1.4473,0.119,11.9,0.0487,4.87,False,False,False,False,False
CMP-1559,ALG,Aura Lifestyle Goods,Consumer Cyclical,2022,2022-03-31,USD,17212041884.82,2630000000.0,1700417799.29,4.18,0.1528,15.28,0.0989,9.89,False,False,False,False,False
CMP-1291,ALG,Aura Lifestyle Goods,Consumer Cyclical,2022,2022-03-31,USD,6971698598.9,763400996.58,384934943.11,1.8971,0.1095,10.95,0.0552,5.52,False,False,False,False,False
CMP-1074,ALG,Aura Lifestyle Goods,Consumer Cyclical,2022,2022-09-30,USD,24199530996.74,815302897.98,121630214.54,0.11,0.033691,3.37,0.005,0.5,False,False,False,False,False
CMP-1339,ALG,Aura Lifestyle Goods,Consumer Cyclical,2023,2023-12-31,USD,37240584879.17,3130000000.0,1983662749.06,,0.084,8.4,0.0533,5.33,False,False,False,False,True
CMP-1273,ALG,Aura Lifestyle Goods,Consumer Cyclical,2023,2023-06-30,CAD,29745197346.4,2540161590.43,785273209.94,0.52,0.0854,8.54,0.0264,2.64,False,False,False,False,False
CMP-1144,ALG,Aura Lifestyle Goods,Consumer Cyclical,2023,2023-12-31,USD,34042186957.01,1443679754.95,-509441255.23,-0.25,0.042,4.2,-0.015,-1.5,False,True,False,False,False
CMP-1818,ALG,Aura Lifestyle Goods,Consumer Cyclical,2023,2023-12-31,USD,49365386031.92,4804201645.99,2669125208.29,2.9,0.097,9.7,0.054,5.4,False,False,False,False,False
CMP-1316,ALG,Aura Lifestyle Goods,Consumer Cyclical,2024,2024-06-30,USD,15297846068.2,1960000000.0,1491490809.93,4.2,0.128,12.8,0.097,9.7,False,False,False,False,False
CMP-1828,ALG,Aura Lifestyle Goods,Consumer Cyclical,2024,2024-03-31,USD,47569774810.01,-1664942118.35,-3960487926.18,,-0.035,-3.5,-0.0833,-8.33,True,True,False,False,True
CMP-1623,ALG,Aura Lifestyle Goods,Consumer Cyclical,2024,2024-09-30,EUR,15878786845.96,544889262.71,-64690000.0,-0.07,0.0343,3.43,-0.0041,-0.41,False,True,False,False,False
CMP-1027,LMI,Luxe Motors International,Consumer Cyclical,2021,2021-12-31,USD,10342087374.98,1546142062.56,877714808.34,3.33,0.1495,14.95,0.0849,8.49,False,False,False,False,False
CMP-1820,LMI,Luxe Motors International,Consumer Cyclical,2021,2021-12-31,USD,53650000000.0,5395964365.87,1810000000.0,0.63,0.1006,10.06,0.0337,3.37,False,False,False,False,False
