Company_ID,Ticker,Company_Name,Sector,Reporting_Period,Revenue,Operating_Profit,Net_Income,EPS,Operating_Margin,Net_Profit_Margin,Currency
CMP-1734,AH,Apex Hydrocarbons,Energy & Power,2022/09/30,"$ 88,978,518,728.81","4,784,446,995.72",2907385844.40,$0.93,5.38,0.0327,USD
CMP-1439,EES,Echo Energy Systems,Other,2021/09/30,"$23,811,152,697.29",,"4,041,541,086.60",USD 10.12,22.61%,17.0%,USD
CMP-1139,VHS,Vitas Health Systems,health care,2021/06/30,#VALUE!,1816299619.45,906988290.09,$0.95,0.0606,3.02,EUR
CMP-1348,CS,CyberNova Systems,,2021/12/31,19.43B,4671178126.33,3633204943.37,8.016,N/A,18.70,usd
CMP-1877, SD ,SteriMed Diagnostics,HEALTHCARE,09/30/2024,"57,507,380,783.87",#VALUE!,-5380680968.12,-$ 5.23,(2.9%),-9.36%,USD
CMP-1899,NSC,Nexus Software Corp,Tech,09/30/2022,34747426709.48,15805247315.92,US$ 14.83B,error,45.49,42.68,$
CMP-1680, NI ,NovaTherapeutics Inc,Bio/Pharma,2023/09/30, 14641132934.87 ,"USD 5,047,966,462.81","4,134,048,366.08",9.61,34.48,28.24%,USD
CMP-1580,BCG,Beacon Capital Group,FINANCE,FY2022,91487243507.91,None,23734613432.77,10.63,0.304,0.2594,USD
CMP-1740,HB,Horizon Bancorp,Banking & Finance,2021/12/31,37383882976.10,null,9091120511.20,7.553,29.00%,null,USD
CMP-1879,GT,GenePure Therapeutics,HealthCare ,2021/12/31,"USD 22,289,626,746.46",6638637075.43,USD 5.71B,13.43,29.78%,25.63,USD
CMP-1699,FGHI,Foundry Global Heavy Industries,Manufacturing ,Q3 2022,,1498207366.40,null,$0.29,3.92,0.66,-
CMP-1309,SEG,solaris energy group,Energy & Power,30-06-2022,"47,579,495,204.82",2128055596.73,"(144,730,177.81)",-0.14,0.0447,-0.30,USD
CMP-1098,VL,Vanguard Logistics,Industrial,2023/09/30,"2,875,913,429.60",(104399230.54),(289565518.17),-3.100,(3.6%),-10.07,CAD
CMP-1857,PFH,  Pinnacle Financial Holdings  ,,FY2022,$4.48B,1651255295.06,1438247166.13,$11.15,36.87,32.11,$
CMP-1642,AD,  Aeroflux Dynamics  ,Industrial,30-09-2023,44049222169.16,NA,1193047936.33,1.2688,9.2%,2.71,USD
CMP-1065,SEG,Solaris Energy Group,ENERGY,2022, 47893289847.94 ,None,6052877987.21,5.59,0.1863,0.1264,USD
CMP-1919, AQC ,APEX QUANTUM CORP,technology,30-06-2023,"$ 10,364,886,060.25",US$ 1.86B,$ 1.17B,2.61,17.96%,11.3%,USD
CMP-1426,AD,  Aeroflux Dynamics  ,Industrial,09/30/2021,$ 28.01B,4542808064.14,3063400105.80,$2.27,0.1622,0.1094,EUR
CMP-1056,UOG,Urban Outfitters Group,Unknown,FY2024, 10818840030.11 ,"240,384,482.11", 10854153.96 ,0.044,0.0222,N/A,USD
CMP-1482,TB,TrendSet Brands,Consumer Discretionary,09/30/2023,41645657662.31,,-2942648265.07,-3.86,-0.68%,-7.07,USD
CMP-1567, EES ,Echo Energy Systems,Energy,2024/09/30,15066706580.37,($1.92B), -2639919617.69 ,N/A,-0.1275,(17.5%),USD
CMP-1640,,Foundry Global Heavy Industries,N/A,FY2023,27808927364.25,"USD 3,693,012,067.95",2252572607.74,2.63,0.1328,8.10%,USD
CMP-1204,NGC,Nordic Gas,ENERGY,2022-03-31,, 4593233650.44 ,"$2,887,014,297.27",2.222,7.49%,4.71%,USD
CMP-1230,SAI,SYNAPSE AI INC,Tech,FY2022,67980437330.52, 6081957368.85 ,"$2,716,141,679.25",,0.0895,4.00%,USD
CMP-1832,VHS,Vitas Health Systems,HEALTHCARE,2022-03-31,USD 3.78B,(150.17M),"(USD 362,744,278.47)",-USD 3.92,(4.0%),-9.60,$
CMP-1746,AHM,atlas heavy machinery,Industrials,03/31/2024,"21,149,403,587.84","693,454,218.80",-441893793.42,,3.28%,-2.09,usd
CMP-1234, CH ,Crestview Holdings,Financial Services,2022-12-31,USD 83.17B,USD 19.51B,15814280087.71,4.7452,23.46,0.1902,$
CMP-1027,LMI,luxe motors international,Consumer Cyclical,FY2021,,"1,546,142,062.56","$ 877,714,808.34",$ 3.33,0.1495,0.0849,USD
CMP-1882,BCG,Beacon Capital Group,Financials,FY2021,USD 19.98B,"$5,839,648,817.63",4538581057.79,6.92,#VALUE!,22.7%,$
CMP-1754,NAI,nextgen apparel inc,consumer cyclical,Q1 2022,N/A,NA,3473309973.36,4.37,14.5%,11.66,USD
CMP-1441,FGHI,Foundry Global Heavy Industries,Manufacturing ,2024-06-30,-,"2,831,755,463.19","1,042,632,839.26",0.695,8.04,0.0296,USD
CMP-1721,MLR,Metro Living Retail,Consumer Cyclical,30-06-2024,"$ 23,927,751,401.71",1711894826.23,null,USD 1.33,0.0715,N/A,usd
CMP-1514,AB,Aegis BioLabs,Bio/Pharma,2024-03-31,US$ 18.26B,1467456607.94,USD 270.72M,0.7,8.04,1.48%,USD
CMP-1243,BCC,bluestone credit corp,FINANCE,2023/12/31,3220773552.32,992974858.81,788439815.71,3.91,30.83%,0.2448,USD
CMP-1775,PE,Pioneer Equipment,Industrial,2024/03/31,"$ 24,922,226,219.45",3464821446.18,2791516952.46,N/A,#VALUE!,0.112,$
CMP-1101,IG,  InfoCore Global  ,Tech,FY2023,7052444037.47, 1724031493.78 ,1553066951.48,13.08,24.45,22.02,usd
CMP-1405,CT,CloudScale Technologies,IT,2022/03/31,62397180190.63,"4,959,014,491.65",1310948084.33,0.33,7.95,0.021,USD
CMP-1784,PE,Pioneer Equipment,Manufacturing ,30-06-2021,"USD 33,270,145,207.44",$ 3.89B,2164655437.00,1.93,11.69,6.51%,USD
CMP-1124,TMW,titan machine works,Industrial,30-09-2023,"USD 29,715,980,153.12",1546642015.71,"($45,500,374.94)",-$ 0.06,5.20%,-0.15,USD
